user_type,authenticated,effective_roles,effective_modules,feature_id,platform,platform_treatment,discover,view,create,edit,delete,archive,deactivate,import,export,submit,validate,approve,reject,assign,publish,report,administer
visitor,false,,,label.assets,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,label.assets,mobile,web-fallback,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,label.tracks,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,label.tracks,mobile,web-fallback,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,label.ddex.inbox,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,label.ddex.inbox,mobile,native,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,label.ddex.document,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,label.ddex.document,mobile,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available
visitor,false,,,label.ddex.import,web,available,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed,concealed
visitor,false,,,label.ddex.import,mobile,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available,not-available
visitor,false,,,label.ddex.partners,web,available,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
visitor,false,,,label.ddex.partners,mobile,native,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required,login-required
